{'01044099999': -10.0, '02293099999': -27.6}
         315347 function calls (310628 primitive calls) in 1.304 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 socks.py:1(<module>)
     2120    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      537    0.000    0.000    0.000    0.000 _parser.py:171(__setitem__)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
      572    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      185    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
       85    0.000    0.000    0.000    0.000 enum.py:1156(__new__)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
      572    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1579(_IPv4Constants)
      255    0.000    0.000    0.000    0.000 enum.py:1589(_get_value)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
      124    0.000    0.000    0.000    0.000 _parser.py:311(_class_escape)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        1    0.000    0.000    0.000    0.000 __init__.py:61(Sectioned)
       93    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
        2    0.000    0.000    0.000    0.000 functools.py:930(wrapper)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       30    0.000    0.000    0.000    0.000 enum.py:1059(_add_member_)
      349    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
        1    0.000    0.000    0.000    0.000 typing.py:3048(NamedTuple)
        1    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
      448    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
       43    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
        9    0.000    0.000    0.000    0.000 __init__.py:2141(getLogger)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      340    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     1033    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
      193    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        6    0.000    0.000    0.000    0.000 enum.py:484(__prepare__)
        2    0.000    0.000    0.000    0.000 functools.py:844(dispatch)
      308    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
      123    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 calendar.py:60(Month)
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
      408    0.000    0.000    0.000    0.000 typing.py:1096(__eq__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
    81/66    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:183(sub)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        6    0.000    0.000    0.000    0.000 enum.py:1459(_missing_)
      305    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 functools.py:800(_find_impl)
        9    0.000    0.000    0.000    0.000 __init__.py:1362(getLogger)
       33    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
        4    0.000    0.000    0.000    0.000 typing.py:806(Optional)
